Appid,name,header_image,,developer,,,,categories,genres,steamspy_tags,,positive_ratings,negative_ratings,,median_playtime,,price
220240,Far Cry 3,https://steamcdn-a.akamaihd.net/steam/apps/220240/header.jpg?t=1550250603,,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",,,,Single-player;Multi-player;Co-op;Partial Controller Support,Action;Adventure,Open World;FPS;Action,,46331,5622,,794,,16.99
238320,Outlast,https://steamcdn-a.akamaihd.net/steam/apps/238320/header.jpg?t=1447357854,,Red Barrels,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Adventure;Indie,Horror;Atmospheric;First-Person,,45966,1953,,166,,15.49
265930,Goat Simulator,https://steamcdn-a.akamaihd.net/steam/apps/265930/header.jpg?t=1515575054,,Coffee Stain Studios,,,,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Casual;Indie;Simulation,Simulation;Funny;Comedy,,45892,5779,,149,,7.19
305620,The Long Dark,https://steamcdn-a.akamaihd.net/steam/apps/305620/header.jpg?t=1552698238,,Hinterland Studio Inc.,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie;Simulation;Strategy,Survival;Open World;Exploration,,45856,4298,,227,,23.79
219150,Hotline Miami,https://steamcdn-a.akamaihd.net/steam/apps/219150/header.jpg?t=1498680087,,Dennaton Games,,,,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie,Great Soundtrack;Action;Violent,,45809,1211,,237,,6.99
55230,Saints Row: The Third,https://steamcdn-a.akamaihd.net/steam/apps/55230/header.jpg?t=1490283037,,Volition,,,,Single-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Open World;Action;Comedy,,44810,1877,,1033,,6.99
435150,Divinity: Original Sin 2 - Definitive Edition,https://steamcdn-a.akamaihd.net/steam/apps/435150/header.jpg?t=1550672369,,Larian Studios,,,,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Includes level editor,Adventure;RPG;Strategy,RPG;Turn-Based;Story Rich,,44145,2464,,1953,,29.99
333930,Dirty Bomb®,https://steamcdn-a.akamaihd.net/steam/apps/333930/header.jpg?t=1551717452,,Splash Damage,,,,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;Free to Play,Free to Play;FPS;Multiplayer,,43743,10891,,73,,0
113200,The Binding of Isaac,https://steamcdn-a.akamaihd.net/steam/apps/113200/header.jpg?t=1447354527,,Edmund McMillen and Florian Himsl,,,,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie;RPG,Rogue-like;Indie;Replay Value,,43227,1923,,567,,3.99
212680,FTL: Faster Than Light,https://steamcdn-a.akamaihd.net/steam/apps/212680/header.jpg?t=1538154560,,Subset Games,,,,Single-player;Steam Trading Cards,Indie;Simulation;Strategy,Rogue-like;Space;Indie,,42641,1629,,633,,6.99
